PaymentMethod,MonthlyCharges,InternetService,DeviceProtection,OnlineSecurity
Credit card (automatic),80.45,DSL,No,Yes
Bank transfer (automatic),109.05,Fiber optic,Yes,Yes
Bank transfer (automatic),26.3,No,No internet service,No internet service
Electronic check,106.8,Fiber optic,No,No
Electronic check,64.95,DSL,Yes,No
Electronic check,19.35,No,No internet service,No internet service
Credit card (automatic),21.1,No,No internet service,No internet service
Credit card (automatic),77.95,Fiber optic,No,No
Mailed check,18.85,No,No internet service,No internet service
Bank transfer (automatic),26.0,No,No internet service,No internet service
Electronic check,74.7,Fiber optic,No,No
Electronic check,70.35,Fiber optic,No,No
Bank transfer (automatic),96.9,Fiber optic,Yes,Yes
Bank transfer (automatic),19.55,No,No internet service,No internet service
Bank transfer (automatic),80.4,DSL,Yes,No
Electronic check,88.8,Fiber optic,Yes,No
Electronic check,94.65,Fiber optic,Yes,No
Electronic check,90.25,Fiber optic,No,No
Bank transfer (automatic),64.65,DSL,No,Yes
Credit card (automatic),95.75,Fiber optic,Yes,No
Credit card (automatic),19.55,No,No internet service,No internet service
Credit card (automatic),104.1,Fiber optic,Yes,Yes
Bank transfer (automatic),89.05,Fiber optic,No,No
Mailed check,20.1,No,No internet service,No internet service
Electronic check,111.55,Fiber optic,Yes,Yes
Credit card (automatic),60.5,DSL,No,Yes
Bank transfer (automatic),90.95,DSL,Yes,Yes
Electronic check,87.4,Fiber optic,Yes,No
Mailed check,19.7,No,No internet service,No internet service
Bank transfer (automatic),50.95,DSL,No,Yes
Bank transfer (automatic),20.05,No,No internet service,No internet service
Mailed check,19.4,No,No internet service,No internet service
Electronic check,59.45,DSL,Yes,No
Electronic check,94.75,Fiber optic,No,No
Credit card (automatic),81.5,DSL,Yes,Yes
Bank transfer (automatic),29.05,DSL,No,No
Electronic check,86.45,Fiber optic,No,No
Mailed check,70.6,DSL,No,Yes
Bank transfer (automatic),97.2,Fiber optic,No,No
Electronic check,98.25,Fiber optic,No,No
Bank transfer (automatic),75.75,Fiber optic,Yes,No
Bank transfer (automatic),59.2,DSL,No,Yes
Mailed check,75.9,Fiber optic,No,No
Electronic check,90.05,Fiber optic,No,No
Bank transfer (automatic),70.95,DSL,Yes,Yes
Electronic check,102.6,Fiber optic,Yes,No
Bank transfer (automatic),85.35,Fiber optic,Yes,Yes
Credit card (automatic),106.1,Fiber optic,Yes,No
Electronic check,43.8,DSL,No,No
Electronic check,59.0,DSL,Yes,Yes
Electronic check,69.95,DSL,Yes,No
Bank transfer (automatic),24.35,No,No internet service,No internet service
Credit card (automatic),29.45,DSL,No,No
Credit card (automatic),84.4,Fiber optic,Yes,No
Electronic check,45.05,DSL,No,No
Mailed check,20.65,No,No internet service,No internet service
Bank transfer (automatic),87.1,DSL,Yes,Yes
Mailed check,19.85,No,No internet service,No internet service
Electronic check,90.35,Fiber optic,Yes,No
Mailed check,109.8,Fiber optic,Yes,Yes
Electronic check,84.65,Fiber optic,No,No
Mailed check,65.5,DSL,No,Yes
Bank transfer (automatic),79.5,Fiber optic,No,No
Electronic check,80.95,Fiber optic,No,Yes
Mailed check,56.15,DSL,No,No
Mailed check,85.8,Fiber optic,No,No
Electronic check,79.1,Fiber optic,No,No
Mailed check,34.4,DSL,Yes,Yes
Mailed check,20.75,No,No internet service,No internet service
Mailed check,18.8,No,No internet service,No internet service
Mailed check,44.3,DSL,No,No
Electronic check,90.8,Fiber optic,Yes,Yes
Electronic check,25.6,No,No internet service,No internet service
Credit card (automatic),105.95,Fiber optic,Yes,Yes
Credit card (automatic),70.8,DSL,No,No
Electronic check,25.4,No,No internet service,No internet service
Bank transfer (automatic),108.8,Fiber optic,Yes,No
Electronic check,69.75,Fiber optic,No,No
Electronic check,94.65,Fiber optic,No,No
Bank transfer (automatic),96.05,Fiber optic,No,No
Electronic check,76.85,Fiber optic,No,No
Mailed check,20.25,No,No internet service,No internet service
Credit card (automatic),24.8,No,No internet service,No internet service
Electronic check,115.65,Fiber optic,Yes,Yes
Credit card (automatic),74.6,Fiber optic,No,No
Mailed check,50.15,DSL,Yes,No
Bank transfer (automatic),103.15,Fiber optic,Yes,Yes
Credit card (automatic),72.1,DSL,Yes,Yes
Bank transfer (automatic),113.6,Fiber optic,Yes,Yes
Mailed check,25.1,No,No internet service,No internet service
Electronic check,78.9,Fiber optic,No,No
Electronic check,80.15,Fiber optic,No,Yes
Mailed check,25.4,No,No internet service,No internet service
Credit card (automatic),105.4,Fiber optic,Yes,Yes
Mailed check,45.75,DSL,No,No
Mailed check,24.45,No,No internet service,No internet service
Credit card (automatic),25.0,No,No internet service,No internet service
Electronic check,85.25,DSL,Yes,Yes
Credit card (automatic),19.6,No,No internet service,No internet service
Mailed check,50.15,DSL,No,No
Electronic check,70.55,Fiber optic,No,No
Electronic check,60.05,DSL,No,No
Mailed check,26.4,No,No internet service,No internet service
Mailed check,20.15,No,No internet service,No internet service
Mailed check,58.85,DSL,Yes,Yes
Credit card (automatic),97.55,Fiber optic,No,Yes
Credit card (automatic),19.65,No,No internet service,No internet service
Credit card (automatic),25.25,DSL,No,No
Credit card (automatic),114.45,Fiber optic,Yes,Yes
Electronic check,34.7,DSL,No,No
Electronic check,70.7,DSL,No,No
Electronic check,85.3,Fiber optic,No,No
Credit card (automatic),75.55,DSL,Yes,Yes
Electronic check,84.8,Fiber optic,No,No
Mailed check,20.65,No,No internet service,No internet service
Bank transfer (automatic),20.45,No,No internet service,No internet service
Credit card (automatic),102.45,Fiber optic,Yes,No
Bank transfer (automatic),104.4,Fiber optic,Yes,Yes
Electronic check,35.65,DSL,No,No
Electronic check,99.75,Fiber optic,Yes,No
Electronic check,90.45,Fiber optic,Yes,No
Credit card (automatic),97.65,Fiber optic,Yes,No
Electronic check,73.85,Fiber optic,Yes,No
Electronic check,74.4,DSL,Yes,No
Credit card (automatic),69.1,DSL,Yes,No
Electronic check,82.75,Fiber optic,Yes,No
Credit card (automatic),24.4,No,No internet service,No internet service
Electronic check,55.25,DSL,No,No
Bank transfer (automatic),61.35,DSL,No,No
Credit card (automatic),76.75,DSL,Yes,Yes
Mailed check,19.4,No,No internet service,No internet service
Credit card (automatic),54.75,DSL,No,No
Credit card (automatic),19.7,No,No internet service,No internet service
Bank transfer (automatic),19.9,No,No internet service,No internet service
Electronic check,107.95,Fiber optic,Yes,No
Bank transfer (automatic),83.8,Fiber optic,No,No
Credit card (automatic),74.25,Fiber optic,No,Yes
Credit card (automatic),56.4,DSL,Yes,No
Mailed check,20.1,No,No internet service,No internet service
Electronic check,94.9,Fiber optic,No,No
Electronic check,94.2,Fiber optic,No,No
Electronic check,49.9,DSL,No,No
Electronic check,71.05,DSL,No,No
Bank transfer (automatic),81.65,DSL,Yes,Yes
Bank transfer (automatic),89.45,Fiber optic,Yes,Yes
Electronic check,59.85,DSL,No,No
Electronic check,69.6,Fiber optic,No,No
Electronic check,99.0,Fiber optic,No,No
Mailed check,19.05,No,No internet service,No internet service
Electronic check,45.4,DSL,No,No
Bank transfer (automatic),114.45,Fiber optic,Yes,Yes
Mailed check,19.5,No,No internet service,No internet service
Mailed check,44.25,DSL,No,No
Bank transfer (automatic),90.55,Fiber optic,Yes,No
Electronic check,69.9,Fiber optic,No,No
Bank transfer (automatic),20.4,No,No internet service,No internet service
Bank transfer (automatic),71.4,DSL,Yes,No
Bank transfer (automatic),87.15,Fiber optic,No,No
Credit card (automatic),24.85,No,No internet service,No internet service
Bank transfer (automatic),104.45,Fiber optic,Yes,Yes
Credit card (automatic),19.8,No,No internet service,No internet service
Bank transfer (automatic),116.45,Fiber optic,Yes,Yes
Bank transfer (automatic),84.75,Fiber optic,No,No
Credit card (automatic),20.05,No,No internet service,No internet service
Electronic check,110.75,Fiber optic,Yes,No
Bank transfer (automatic),89.7,Fiber optic,Yes,No
Electronic check,89.95,Fiber optic,No,No
Credit card (automatic),48.7,DSL,No,Yes
Bank transfer (automatic),96.6,Fiber optic,Yes,Yes
Credit card (automatic),74.3,DSL,No,Yes
Electronic check,54.3,DSL,No,No
Bank transfer (automatic),74.85,DSL,Yes,No
Bank transfer (automatic),79.95,Fiber optic,No,No
Bank transfer (automatic),20.05,No,No internet service,No internet service
Mailed check,19.4,No,No internet service,No internet service
Bank transfer (automatic),54.9,DSL,Yes,No
Credit card (automatic),24.45,No,No internet service,No internet service
Bank transfer (automatic),89.65,Fiber optic,No,No
Electronic check,45.4,DSL,No,No
Mailed check,75.7,DSL,Yes,Yes
Credit card (automatic),110.65,Fiber optic,Yes,Yes
Mailed check,20.55,No,No internet service,No internet service
Credit card (automatic),115.15,Fiber optic,Yes,Yes
Credit card (automatic),58.55,DSL,Yes,No
Bank transfer (automatic),93.25,Fiber optic,Yes,No
Electronic check,113.2,Fiber optic,Yes,Yes
Electronic check,90.5,Fiber optic,No,No
Electronic check,79.0,Fiber optic,No,No
Bank transfer (automatic),19.35,No,No internet service,No internet service
Mailed check,48.75,DSL,No,Yes
Electronic check,109.05,Fiber optic,Yes,Yes
Bank transfer (automatic),25.0,No,No internet service,No internet service
Credit card (automatic),54.9,DSL,No,No
Credit card (automatic),24.75,No,No internet service,No internet service
Electronic check,91.15,Fiber optic,No,Yes
Bank transfer (automatic),20.15,No,No internet service,No internet service
Electronic check,104.35,Fiber optic,Yes,No
Electronic check,66.05,DSL,No,No
Electronic check,71.65,Fiber optic,No,No
Mailed check,20.35,No,No internet service,No internet service
Credit card (automatic),92.2,DSL,Yes,Yes
Credit card (automatic),84.25,Fiber optic,Yes,No
Bank transfer (automatic),105.2,Fiber optic,Yes,Yes
Bank transfer (automatic),19.6,No,No internet service,No internet service
Electronic check,30.4,DSL,No,No
Bank transfer (automatic),78.1,Fiber optic,No,No
Mailed check,61.5,DSL,Yes,Yes
Bank transfer (automatic),69.4,DSL,No,Yes
Bank transfer (automatic),24.75,No,No internet service,No internet service
Mailed check,91.05,DSL,Yes,Yes
Mailed check,89.65,Fiber optic,Yes,No
Credit card (automatic),73.65,DSL,No,No
Credit card (automatic),19.4,No,No internet service,No internet service
Bank transfer (automatic),26.2,No,No internet service,No internet service
Electronic check,98.7,Fiber optic,No,Yes
Bank transfer (automatic),43.85,DSL,No,No
Mailed check,69.7,Fiber optic,No,No
Mailed check,38.55,DSL,Yes,Yes
Mailed check,53.1,DSL,Yes,Yes
Mailed check,20.65,No,No internet service,No internet service
Credit card (automatic),64.45,DSL,Yes,Yes
Credit card (automatic),25.1,No,No internet service,No internet service
Electronic check,76.35,Fiber optic,Yes,No
Electronic check,79.15,Fiber optic,No,No
Electronic check,85.0,Fiber optic,No,No
Credit card (automatic),95.15,Fiber optic,Yes,Yes
Mailed check,79.35,Fiber optic,Yes,No
Bank transfer (automatic),96.65,Fiber optic,Yes,No
Electronic check,75.5,DSL,Yes,No
Mailed check,19.7,No,No internet service,No internet service
Credit card (automatic),20.5,No,No internet service,No internet service
Mailed check,19.2,No,No internet service,No internet service
Bank transfer (automatic),98.35,Fiber optic,No,No
Bank transfer (automatic),74.35,Fiber optic,No,No
Credit card (automatic),51.35,DSL,Yes,No
Mailed check,45.65,DSL,No,No
Electronic check,85.3,Fiber optic,No,No
Credit card (automatic),86.55,Fiber optic,No,No
Credit card (automatic),73.85,Fiber optic,No,No
Bank transfer (automatic),20.3,No,No internet service,No internet service
Electronic check,54.2,DSL,No,No
Electronic check,90.65,Fiber optic,No,No
Bank transfer (automatic),50.9,DSL,No,Yes
Electronic check,25.05,No,No internet service,No internet service
Electronic check,74.85,Fiber optic,No,No
Mailed check,20.5,No,No internet service,No internet service
Mailed check,63.55,DSL,No,Yes
Electronic check,44.85,DSL,No,No
Electronic check,47.95,DSL,No,Yes
Electronic check,45.1,DSL,No,No
Electronic check,45.0,DSL,No,No
Electronic check,96.0,Fiber optic,No,No
Bank transfer (automatic),20.05,No,No internet service,No internet service
Electronic check,90.05,Fiber optic,No,No
Credit card (automatic),25.3,No,No internet service,No internet service
Bank transfer (automatic),108.65,Fiber optic,Yes,Yes
Electronic check,24.3,No,No internet service,No internet service
Electronic check,75.95,DSL,Yes,Yes
Credit card (automatic),19.7,No,No internet service,No internet service
Credit card (automatic),66.4,DSL,Yes,Yes
Bank transfer (automatic),35.75,DSL,Yes,No
Mailed check,18.8,No,No internet service,No internet service
Credit card (automatic),19.4,No,No internet service,No internet service
Mailed check,19.3,No,No internet service,No internet service
Electronic check,45.55,DSL,No,No
Credit card (automatic),67.45,DSL,Yes,Yes
Electronic check,35.1,DSL,No,No
Credit card (automatic),46.2,DSL,No,No
Electronic check,45.15,DSL,No,No
Electronic check,43.3,DSL,Yes,No
Mailed check,20.1,No,No internet service,No internet service
Credit card (automatic),57.15,DSL,No,Yes
Credit card (automatic),58.9,DSL,Yes,Yes
Electronic check,73.2,Fiber optic,No,Yes
Electronic check,85.35,Fiber optic,No,No
Mailed check,19.45,No,No internet service,No internet service
Mailed check,45.95,DSL,No,No
Electronic check,50.5,DSL,Yes,No
Mailed check,25.1,No,No internet service,No internet service
Mailed check,60.7,DSL,Yes,No
Electronic check,99.0,Fiber optic,No,No
Bank transfer (automatic),104.4,Fiber optic,No,Yes
Electronic check,83.75,Fiber optic,No,No
Bank transfer (automatic),44.05,DSL,No,No
Credit card (automatic),24.1,No,No internet service,No internet service
Mailed check,45.55,DSL,No,No
Electronic check,93.8,Fiber optic,No,Yes
Bank transfer (automatic),19.7,No,No internet service,No internet service
Credit card (automatic),70.65,DSL,Yes,Yes
Credit card (automatic),86.45,DSL,No,Yes
Credit card (automatic),114.1,Fiber optic,Yes,Yes
Credit card (automatic),95.2,Fiber optic,No,No
Credit card (automatic),88.55,DSL,Yes,Yes
Credit card (automatic),20.75,No,No internet service,No internet service
Electronic check,70.05,Fiber optic,No,No
Electronic check,86.0,Fiber optic,No,No
Bank transfer (automatic),44.65,DSL,No,Yes
Mailed check,60.2,DSL,No,Yes
Bank transfer (automatic),100.5,Fiber optic,No,Yes
Bank transfer (automatic),55.45,DSL,No,Yes
Credit card (automatic),70.3,DSL,No,Yes
Bank transfer (automatic),60.4,DSL,Yes,Yes
Electronic check,72.65,Fiber optic,No,No
Bank transfer (automatic),55.8,DSL,Yes,No
Mailed check,31.1,DSL,No,No
Electronic check,21.0,No,No internet service,No internet service
Mailed check,45.1,DSL,No,No
Credit card (automatic),50.95,DSL,No,No
Electronic check,69.1,DSL,No,Yes
Electronic check,43.95,DSL,No,No
Bank transfer (automatic),86.5,DSL,No,Yes
Electronic check,69.95,DSL,Yes,Yes
Bank transfer (automatic),50.4,DSL,No,No
Electronic check,78.95,Fiber optic,No,No
Credit card (automatic),90.95,Fiber optic,Yes,No
Mailed check,19.9,No,No internet service,No internet service
Electronic check,20.15,No,No internet service,No internet service
Credit card (automatic),90.6,DSL,Yes,Yes
Electronic check,92.0,Fiber optic,No,No
Electronic check,94.45,Fiber optic,No,No
Mailed check,24.85,No,No internet service,No internet service
Credit card (automatic),36.0,DSL,No,No
Electronic check,78.5,DSL,No,Yes
Credit card (automatic),19.95,No,No internet service,No internet service
Mailed check,20.65,No,No internet service,No internet service
Electronic check,30.5,DSL,No,No
Credit card (automatic),106.1,Fiber optic,Yes,Yes
Bank transfer (automatic),20.5,No,No internet service,No internet service
Electronic check,95.5,Fiber optic,Yes,No
Electronic check,64.6,DSL,No,No
Credit card (automatic),51.1,DSL,No,No
Bank transfer (automatic),84.8,Fiber optic,Yes,No
Credit card (automatic),89.1,DSL,Yes,Yes
Electronic check,54.95,DSL,No,Yes
Mailed check,50.9,DSL,Yes,No
Bank transfer (automatic),20.45,No,No internet service,No internet service
Credit card (automatic),85.95,DSL,Yes,No
Electronic check,60.35,DSL,No,No
Bank transfer (automatic),19.8,No,No internet service,No internet service
Bank transfer (automatic),85.35,Fiber optic,No,No
Bank transfer (automatic),72.1,DSL,Yes,No
Electronic check,99.8,Fiber optic,Yes,No
Bank transfer (automatic),107.35,Fiber optic,Yes,No
Mailed check,19.55,No,No internet service,No internet service
Electronic check,81.05,Fiber optic,No,No
Electronic check,20.5,No,No internet service,No internet service
Bank transfer (automatic),111.8,Fiber optic,Yes,No
Mailed check,20.2,No,No internet service,No internet service
Mailed check,19.7,No,No internet service,No internet service
Electronic check,79.1,Fiber optic,No,Yes
Bank transfer (automatic),19.85,No,No internet service,No internet service
Bank transfer (automatic),60.5,DSL,No,Yes
Mailed check,19.55,No,No internet service,No internet service
Mailed check,20.9,No,No internet service,No internet service
